15:02:31: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized
15:02:31: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 4.0)
15:02:31: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 1.0)
15:02:32: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.6666666666666666)
15:02:32: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.5)
15:02:33: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.4)
15:02:33: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.3333333333333333)
15:02:34: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.2857142857142857)
15:02:34: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 2.5, 0.25)
15:02:35: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
15:02:35: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 6.0, 0.2)
15:02:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
15:02:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
15:02:37: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
15:02:37: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
15:02:38: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
15:02:38: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (3.75, 0.0, 0.125)
15:02:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
15:02:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
15:02:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.10526315789473684)
15:02:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 1.0, 0.1)
15:02:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
15:02:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
15:02:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
15:02:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
15:02:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.4, 2.4, 0.08)
15:02:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
15:02:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
15:02:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142)
15:02:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
15:02:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
15:02:46: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.06451612903225806)
